Fakultät,Code,Id,Kanton,Einwohner,Jahr,Semester,Immatrikulationen
Psychologie,NW,7,Nidwalden,43223,2006,HS,0.5
Wirtschaftswissenschaften,NW,7,Nidwalden,43223,2006,HS,0.5
Philosophie II,NW,7,Nidwalden,43223,2006,HS,2.5
Lehrerausbildung,NW,7,Nidwalden,43223,2006,HS,0
Theologie,AR,15,Appenzell Ausserrhoden,55234,2006,HS,0
Jurisprudenz,AR,15,Appenzell Ausserrhoden,55234,2006,HS,0.5
Medizin,AR,15,Appenzell Ausserrhoden,55234,2006,HS,2
Philosophie I,AR,15,Appenzell Ausserrhoden,55234,2006,HS,2
Psychologie,AR,15,Appenzell Ausserrhoden,55234,2006,HS,1.5
Wirtschaftswissenschaften,AR,15,Appenzell Ausserrhoden,55234,2006,HS,1
Philosophie II,AR,15,Appenzell Ausserrhoden,55234,2006,HS,2.5
Lehrerausbildung,AR,15,Appenzell Ausserrhoden,55234,2006,HS,0
Theologie,BS,12,Basel-Stadt,194766,2007,FS,1
Theologie,ZH,1,Zürich,1520968,2007,FS,2
Theologie,BE,2,Bern,1034977,2007,FS,0
Theologie,LU,3,Luzern,409557,2007,FS,0
Theologie,UR,4,Uri,36433,2007,FS,0
Theologie,SZ,5,Schwyz,159165,2007,FS,0
Theologie,OW,6,Obwalden,37841,2007,FS,0
Theologie,GL,8,Glarus,40403,2007,FS,0
Theologie,ZG,9,Zug,126837,2007,FS,0
Theologie,FR,10,Freiburg,318714,2007,FS,0
Theologie,SO,11,Solothurn,273194,2007,FS,1
Theologie,BL,13,Basel-Landschaft,288132,2007,FS,2
Theologie,SH,14,Schaffhausen,81991,2007,FS,0
Theologie,AI,16,Appenzell Innerrhoden,16145,2007,FS,0
Theologie,SG,17,St. Gallen,507697,2007,FS,0
Theologie,GR,18,Graubünden,198379,2007,FS,1
Theologie,AG,19,Aargau,677387,2007,FS,0
Theologie,TG,20,Thurgau,276472,2007,FS,0
Theologie,TI,21,Tessin,353343,2007,FS,0
Theologie,VD,22,Waadt,799145,2007,FS,0
Theologie,VS,23,Wallis,343955,2007,FS,0
Theologie,NE,24,Neuenburg,176850,2007,FS,0
Theologie,GE,25,Genf,499480,2007,FS,0
Theologie,JU,26,Jura,73419,2007,FS,0
Jurisprudenz,BS,12,Basel-Stadt,194766,2007,FS,8
Jurisprudenz,ZH,1,Zürich,1520968,2007,FS,0
Jurisprudenz,BE,2,Bern,1034977,2007,FS,0
Jurisprudenz,LU,3,Luzern,409557,2007,FS,0
Jurisprudenz,UR,4,Uri,36433,2007,FS,0
Jurisprudenz,SZ,5,Schwyz,159165,2007,FS,1
Jurisprudenz,OW,6,Obwalden,37841,2007,FS,0
Jurisprudenz,GL,8,Glarus,40403,2007,FS,0
Jurisprudenz,ZG,9,Zug,126837,2007,FS,0
Jurisprudenz,FR,10,Freiburg,318714,2007,FS,0
Jurisprudenz,SO,11,Solothurn,273194,2007,FS,0
Jurisprudenz,BL,13,Basel-Landschaft,288132,2007,FS,2
Jurisprudenz,SH,14,Schaffhausen,81991,2007,FS,0
